"Name","Code","Type","Date","New_cases","Population","Cumulative_cases","Period","Data_completeness","Cumulative_per_100000","New_cases_per_100000","Rolling_7_day_new_cases","Rolling_7_day_new_cases_per_100000","Perc_change_on_rolling_7_days_actual","Rolling_7_day_average_new_cases","Previous_7_days_sum"
"Arun","E07000224","Lower Tier Local Authority",2020-01-30,NA,NA,NA,"30 January 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-01-31,NA,NA,NA,"31 January 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-02-01,NA,NA,NA,"01 February 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-02-02,NA,NA,NA,"02 February 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-02-03,NA,NA,NA,"03 February 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-02-04,NA,NA,NA,"04 February 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-02-05,NA,NA,NA,"05 February 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-02-06,NA,NA,NA,"06 February 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-02-07,NA,NA,NA,"07 February 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-02-08,NA,NA,NA,"08 February 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-02-09,NA,NA,NA,"09 February 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-02-10,NA,NA,NA,"10 February 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-02-11,NA,NA,NA,"11 February 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-02-12,NA,NA,NA,"12 February 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-02-13,NA,NA,NA,"13 February 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-02-14,NA,NA,NA,"14 February 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-02-15,NA,NA,NA,"15 February 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-02-16,NA,NA,NA,"16 February 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-02-17,NA,NA,NA,"17 February 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-02-18,NA,NA,NA,"18 February 2020","Complete",NA,NA,NA,NA,0,NA,NA
"Arun","E07000224","Lower Tier Local Authority",2020-02-19,NA,NA,NA,"19 February 2020","Complete",NA,NA,NA,NA,0,NA,NA
