Area code,UTLA,Name,Tier,Primary_schools
E07000223,West Sussex,Adur,Tier 4 (stay at home),All pupils
E07000026,Cumbria,Allerdale,Tier 4 (stay at home),All pupils
E07000032,Derbyshire,Amber Valley,Tier 4 (stay at home),All pupils
E07000224,West Sussex,Arun,Tier 4 (stay at home),All pupils
E07000170,Nottinghamshire,Ashfield,Tier 4 (stay at home),All pupils
E07000105,Kent,Ashford,Tier 4 (stay at home),Restricted
E07000004,Buckinghamshire,Aylesbury Vale,Tier 4 (stay at home),All pupils
E07000200,Suffolk,Babergh,Tier 4 (stay at home),All pupils
E09000002,Barking and Dagenham,Barking and Dagenham,Tier 4 (stay at home),Restricted
E09000003,Barnet,Barnet,Tier 4 (stay at home),Restricted
E08000016,Barnsley,Barnsley,Tier 3 (very high),All pupils
E07000027,Cumbria,Barrow-in-Furness,Tier 4 (stay at home),All pupils
E07000066,Essex,Basildon,Tier 4 (stay at home),Restricted
E07000084,Hampshire,Basingstoke and Deane,Tier 4 (stay at home),All pupils
E07000171,Nottinghamshire,Bassetlaw,Tier 4 (stay at home),All pupils
E06000022,Bath and North East Somerset,Bath and North East Somerset,Tier 3 (very high),All pupils
E06000055,Bedford,Bedford,Tier 4 (stay at home),All pupils
E09000004,Bexley,Bexley,Tier 4 (stay at home),Restricted
E08000025,Birmingham,Birmingham,Tier 4 (stay at home),All pupils
E07000129,Leicestershire,Blaby,Tier 4 (stay at home),All pupils
E06000008,Blackburn with Darwen,Blackburn with Darwen,Tier 4 (stay at home),All pupils
E06000009,Blackpool,Blackpool,Tier 3 (very high),All pupils
E07000033,Derbyshire,Bolsover,Tier 4 (stay at home),All pupils
E08000001,Bolton,Bolton,Tier 4 (stay at home),All pupils
E07000136,Lincolnshire,Boston,Tier 4 (stay at home),All pupils
E06000058,"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole",Tier 4 (stay at home),All pupils
E06000036,Bracknell Forest,Bracknell Forest,Tier 4 (stay at home),All pupils
E08000032,Bradford,Bradford,Tier 3 (very high),All pupils
E07000067,Essex,Braintree,Tier 4 (stay at home),Restricted
E07000143,Norfolk,Breckland,Tier 4 (stay at home),All pupils
E09000005,Brent,Brent,Tier 4 (stay at home),Restricted
E07000068,Essex,Brentwood,Tier 4 (stay at home),Restricted
E06000043,Brighton and Hove,Brighton and Hove,Tier 4 (stay at home),All pupils
E06000023,"Bristol, City of","Bristol, City of",Tier 3 (very high),All pupils
E07000144,Norfolk,Broadland,Tier 4 (stay at home),All pupils
E09000006,Bromley,Bromley,Tier 4 (stay at home),Restricted
E07000234,Worcestershire,Bromsgrove,Tier 3 (very high),All pupils
E07000095,Hertfordshire,Broxbourne,Tier 4 (stay at home),Restricted
E07000172,Nottinghamshire,Broxtowe,Tier 4 (stay at home),All pupils
E07000117,Lancashire,Burnley,Tier 4 (stay at home),All pupils
E08000002,Bury,Bury,Tier 4 (stay at home),All pupils
E08000033,Calderdale,Calderdale,Tier 3 (very high),All pupils
E07000008,Cambridgeshire,Cambridge,Tier 4 (stay at home),All pupils
E09000007,Camden,Camden,Tier 4 (stay at home),Restricted
E07000192,Staffordshire,Cannock Chase,Tier 4 (stay at home),All pupils
E07000106,Kent,Canterbury,Tier 4 (stay at home),All pupils
E07000028,Cumbria,Carlisle,Tier 4 (stay at home),All pupils
E07000069,Essex,Castle Point,Tier 4 (stay at home),Restricted
E06000056,Central Bedfordshire,Central Bedfordshire,Tier 4 (stay at home),All pupils
E07000130,Leicestershire,Charnwood,Tier 4 (stay at home),All pupils
E07000070,Essex,Chelmsford,Tier 4 (stay at home),Restricted
E07000078,Gloucestershire,Cheltenham,Tier 4 (stay at home),All pupils
E07000177,Oxfordshire,Cherwell,Tier 4 (stay at home),All pupils
E06000049,Cheshire East,Cheshire East,Tier 4 (stay at home),All pupils
E06000050,Cheshire West and Chester,Cheshire West and Chester,Tier 4 (stay at home),All pupils
E07000034,Derbyshire,Chesterfield,Tier 4 (stay at home),All pupils
E07000225,West Sussex,Chichester,Tier 4 (stay at home),All pupils
E07000005,Buckinghamshire,Chiltern,Tier 4 (stay at home),All pupils
E07000118,Lancashire,Chorley,Tier 4 (stay at home),All pupils
E07000071,Essex,Colchester,Tier 4 (stay at home),All pupils
E07000029,Cumbria,Copeland,Tier 4 (stay at home),All pupils
E07000150,Northamptonshire,Corby,Tier 4 (stay at home),All pupils
E06000052,Cornwall,Cornwall and Isles of Scilly,Tier 3 (very high),All pupils
E07000079,Gloucestershire,Cotswold,Tier 4 (stay at home),All pupils
E06000047,County Durham,County Durham,Tier 4 (stay at home),All pupils
E08000026,Coventry,Coventry,Tier 4 (stay at home),All pupils
E07000163,North Yorkshire,Craven,Tier 3 (very high),All pupils
E07000226,West Sussex,Crawley,Tier 4 (stay at home),All pupils
E09000008,Croydon,Croydon,Tier 4 (stay at home),Restricted
E07000096,Hertfordshire,Dacorum,Tier 4 (stay at home),All pupils
E06000005,Darlington,Darlington,Tier 4 (stay at home),All pupils
E07000107,Kent,Dartford,Tier 4 (stay at home),Restricted
E07000151,Northamptonshire,Daventry,Tier 4 (stay at home),All pupils
E06000015,Derby,Derby,Tier 4 (stay at home),All pupils
E07000035,Derbyshire,Derbyshire Dales,Tier 4 (stay at home),All pupils
E08000017,Doncaster,Doncaster,Tier 3 (very high),All pupils
E06000059,Dorset,Dorset,Tier 3 (very high),All pupils
E07000108,Kent,Dover,Tier 4 (stay at home),All pupils
E08000027,Dudley,Dudley,Tier 4 (stay at home),All pupils
E09000009,Ealing,Ealing,Tier 4 (stay at home),Restricted
E07000009,Cambridgeshire,East Cambridgeshire,Tier 4 (stay at home),All pupils
E07000040,Devon,East Devon,Tier 3 (very high),All pupils
E07000085,Hampshire,East Hampshire,Tier 4 (stay at home),All pupils
E07000242,Hertfordshire,East Hertfordshire,Tier 4 (stay at home),All pupils
E07000137,Lincolnshire,East Lindsey,Tier 4 (stay at home),All pupils
E07000152,Northamptonshire,East Northamptonshire,Tier 4 (stay at home),All pupils
E06000011,East Riding of Yorkshire,East Riding of Yorkshire,Tier 3 (very high),All pupils
E07000193,Staffordshire,East Staffordshire,Tier 4 (stay at home),All pupils
E07000244,Suffolk,East Suffolk,Tier 4 (stay at home),All pupils
E07000061,East Sussex,Eastbourne,Tier 4 (stay at home),All pupils
E07000086,Hampshire,Eastleigh,Tier 4 (stay at home),All pupils
E07000030,Cumbria,Eden,Tier 4 (stay at home),All pupils
E07000207,Surrey,Elmbridge,Tier 4 (stay at home),All pupils
E09000010,Enfield,Enfield,Tier 4 (stay at home),Restricted
E07000072,Essex,Epping Forest,Tier 4 (stay at home),Restricted
E07000208,Surrey,Epsom and Ewell,Tier 4 (stay at home),All pupils
E07000036,Derbyshire,Erewash,Tier 4 (stay at home),All pupils
E07000041,Devon,Exeter,Tier 3 (very high),All pupils
E07000087,Hampshire,Fareham,Tier 4 (stay at home),All pupils
E07000010,Cambridgeshire,Fenland,Tier 4 (stay at home),All pupils
E07000112,Kent,Folkestone and Hythe,Tier 4 (stay at home),All pupils
E07000080,Gloucestershire,Forest of Dean,Tier 4 (stay at home),All pupils
E07000119,Lancashire,Fylde,Tier 4 (stay at home),All pupils
E08000037,Gateshead,Gateshead,Tier 4 (stay at home),All pupils
E07000173,Nottinghamshire,Gedling,Tier 4 (stay at home),All pupils
E07000081,Gloucestershire,Gloucester,Tier 4 (stay at home),All pupils
E07000088,Hampshire,Gosport,Tier 4 (stay at home),All pupils
E07000109,Kent,Gravesham,Tier 4 (stay at home),Restricted
E07000145,Norfolk,Great Yarmouth,Tier 4 (stay at home),All pupils
E09000011,Greenwich,Greenwich,Tier 4 (stay at home),Restricted
E07000209,Surrey,Guildford,Tier 4 (stay at home),All pupils
E09000012,Hackney,Hackney and City of London,Tier 4 (stay at home),Restricted
E06000006,Halton,Halton,Tier 3 (very high),All pupils
E07000164,North Yorkshire,Hambleton,Tier 3 (very high),All pupils
E09000013,Hammersmith and Fulham,Hammersmith and Fulham,Tier 4 (stay at home),Restricted
E07000131,Leicestershire,Harborough,Tier 4 (stay at home),All pupils
E09000014,Haringey,Haringey,Tier 4 (stay at home),Restricted
E07000073,Essex,Harlow,Tier 4 (stay at home),Restricted
E07000165,North Yorkshire,Harrogate,Tier 3 (very high),All pupils
E09000015,Harrow,Harrow,Tier 4 (stay at home),Restricted
E07000089,Hampshire,Hart,Tier 4 (stay at home),All pupils
E06000001,Hartlepool,Hartlepool,Tier 4 (stay at home),All pupils
E07000062,East Sussex,Hastings,Tier 4 (stay at home),Restricted
E07000090,Hampshire,Havant,Tier 4 (stay at home),All pupils
E09000016,Havering,Havering,Tier 4 (stay at home),Restricted
E06000019,"Herefordshire, County of","Herefordshire, County of",Tier 3 (very high),All pupils
E07000098,Hertfordshire,Hertsmere,Tier 4 (stay at home),Restricted
E07000037,Derbyshire,High Peak,Tier 4 (stay at home),All pupils
E09000017,Hillingdon,Hillingdon,Tier 4 (stay at home),Restricted
E07000132,Leicestershire,Hinckley and Bosworth,Tier 4 (stay at home),All pupils
E07000227,West Sussex,Horsham,Tier 4 (stay at home),All pupils
E09000018,Hounslow,Hounslow,Tier 4 (stay at home),Restricted
E07000011,Cambridgeshire,Huntingdonshire,Tier 4 (stay at home),All pupils
E07000120,Lancashire,Hyndburn,Tier 4 (stay at home),All pupils
E07000202,Suffolk,Ipswich,Tier 4 (stay at home),All pupils
E06000046,Isle of Wight,Isle of Wight,Tier 4 (stay at home),All pupils
E09000019,Islington,Islington,Tier 4 (stay at home),Restricted
E09000020,Kensington and Chelsea,Kensington and Chelsea,Tier 4 (stay at home),Restricted
E07000153,Northamptonshire,Kettering,Tier 4 (stay at home),All pupils
E07000146,Norfolk,King's Lynn and West Norfolk,Tier 4 (stay at home),All pupils
E06000010,"Kingston upon Hull, City of","Kingston upon Hull, City of",Tier 3 (very high),All pupils
E09000021,Kingston upon Thames,Kingston upon Thames,Tier 4 (stay at home),Restricted
E08000034,Kirklees,Kirklees,Tier 3 (very high),All pupils
E08000011,Knowsley,Knowsley,Tier 3 (very high),All pupils
E09000022,Lambeth,Lambeth,Tier 4 (stay at home),Restricted
E07000121,Lancashire,Lancaster,Tier 4 (stay at home),All pupils
E08000035,Leeds,Leeds,Tier 3 (very high),All pupils
E06000016,Leicester,Leicester,Tier 4 (stay at home),All pupils
E07000063,East Sussex,Lewes,Tier 4 (stay at home),All pupils
E09000023,Lewisham,Lewisham,Tier 4 (stay at home),Restricted
E07000194,Staffordshire,Lichfield,Tier 4 (stay at home),All pupils
E07000138,Lincolnshire,Lincoln,Tier 4 (stay at home),All pupils
E08000012,Liverpool,Liverpool,Tier 3 (very high),All pupils
E06000032,Luton,Luton,Tier 4 (stay at home),All pupils
E07000110,Kent,Maidstone,Tier 4 (stay at home),Restricted
E07000074,Essex,Maldon,Tier 4 (stay at home),Restricted
E07000235,Worcestershire,Malvern Hills,Tier 3 (very high),All pupils
E08000003,Manchester,Manchester,Tier 4 (stay at home),All pupils
E07000174,Nottinghamshire,Mansfield,Tier 4 (stay at home),All pupils
E06000035,Medway,Medway,Tier 4 (stay at home),Restricted
E07000133,Leicestershire,Melton,Tier 4 (stay at home),All pupils
E07000187,Somerset,Mendip,Tier 4 (stay at home),All pupils
E09000024,Merton,Merton,Tier 4 (stay at home),Restricted
E07000042,Devon,Mid Devon,Tier 3 (very high),All pupils
E07000203,Suffolk,Mid Suffolk,Tier 4 (stay at home),All pupils
E07000228,West Sussex,Mid Sussex,Tier 4 (stay at home),All pupils
E06000002,Middlesbrough,Middlesbrough,Tier 4 (stay at home),All pupils
E06000042,Milton Keynes,Milton Keynes,Tier 4 (stay at home),Restricted
E07000210,Surrey,Mole Valley,Tier 4 (stay at home),All pupils
E07000091,Hampshire,New Forest,Tier 4 (stay at home),All pupils
E07000175,Nottinghamshire,Newark and Sherwood,Tier 4 (stay at home),All pupils
E08000021,Newcastle upon Tyne,Newcastle upon Tyne,Tier 4 (stay at home),All pupils
E07000195,Staffordshire,Newcastle-under-Lyme,Tier 4 (stay at home),All pupils
E09000025,Newham,Newham,Tier 4 (stay at home),Restricted
E07000043,Devon,North Devon,Tier 3 (very high),All pupils
E07000038,Derbyshire,North East Derbyshire,Tier 4 (stay at home),All pupils
E06000012,North East Lincolnshire,North East Lincolnshire,Tier 4 (stay at home),All pupils
E07000099,Hertfordshire,North Hertfordshire,Tier 4 (stay at home),All pupils
E07000139,Lincolnshire,North Kesteven,Tier 4 (stay at home),All pupils
E06000013,North Lincolnshire,North Lincolnshire,Tier 4 (stay at home),All pupils
E07000147,Norfolk,North Norfolk,Tier 4 (stay at home),All pupils
E06000024,North Somerset,North Somerset,Tier 3 (very high),All pupils
E08000022,North Tyneside,North Tyneside,Tier 4 (stay at home),All pupils
E07000218,Warwickshire,North Warwickshire,Tier 4 (stay at home),All pupils
E07000134,Leicestershire,North West Leicestershire,Tier 4 (stay at home),All pupils
E07000154,Northamptonshire,Northampton,Tier 4 (stay at home),All pupils
E06000057,Northumberland,Northumberland,Tier 4 (stay at home),All pupils
E07000148,Norfolk,Norwich,Tier 4 (stay at home),All pupils
E06000018,Nottingham,Nottingham,Tier 4 (stay at home),All pupils
E07000219,Warwickshire,Nuneaton and Bedworth,Tier 4 (stay at home),All pupils
E07000135,Leicestershire,Oadby and Wigston,Tier 4 (stay at home),All pupils
E08000004,Oldham,Oldham,Tier 4 (stay at home),All pupils
E07000178,Oxfordshire,Oxford,Tier 4 (stay at home),All pupils
E07000122,Lancashire,Pendle,Tier 4 (stay at home),All pupils
E06000031,Peterborough,Peterborough,Tier 4 (stay at home),All pupils
E06000026,Plymouth,Plymouth,Tier 3 (very high),All pupils
E06000044,Portsmouth,Portsmouth,Tier 4 (stay at home),All pupils
E07000123,Lancashire,Preston,Tier 4 (stay at home),All pupils
E06000038,Reading,Reading,Tier 4 (stay at home),All pupils
E09000026,Redbridge,Redbridge,Tier 4 (stay at home),Restricted
E06000003,Redcar and Cleveland,Redcar and Cleveland,Tier 4 (stay at home),All pupils
E07000236,Worcestershire,Redditch,Tier 3 (very high),All pupils
E07000211,Surrey,Reigate and Banstead,Tier 4 (stay at home),All pupils
E07000124,Lancashire,Ribble Valley,Tier 4 (stay at home),All pupils
E09000027,Richmond upon Thames,Richmond upon Thames,Tier 4 (stay at home),Restricted
E07000166,North Yorkshire,Richmondshire,Tier 3 (very high),All pupils
E08000005,Rochdale,Rochdale,Tier 4 (stay at home),All pupils
E07000075,Essex,Rochford,Tier 4 (stay at home),Restricted
E07000125,Lancashire,Rossendale,Tier 4 (stay at home),All pupils
E07000064,East Sussex,Rother,Tier 4 (stay at home),Restricted
E08000018,Rotherham,Rotherham,Tier 3 (very high),All pupils
E07000220,Warwickshire,Rugby,Tier 4 (stay at home),All pupils
